matricula;AnoMes_Formatted;leads;trabalhado;abordado;negociado;rec_orcamento;cotado;transm_bru;transm_liq;rec_canc_transm;premio_transm;premio_rec_canc;premio_emi;ticket_med_bru;ticket_med_lid;%Trabalhado;%Abordado;%Cotado;%Conversão_Bruta;%Conversão_Líquida;%Eficiência;AnoMes_Formatted:1;monitoria;sac;tempo_logado;Status_Meta;Operador_Sequencial
4400005;202106;12;12;12;8;0;8;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202106;95;0;26735;abaixo da meta;1
4400005;202106;12;12;12;8;0;8;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202106;98;0;24095;abaixo da meta;2
4400006;202101;18;18;18;6;0;6;2;2;0;2768;0;2768;2768;2768;1;1;0,333333333;0,333333333;0,333333333;0,111111111;202101;85;0;23186;abaixo da meta;1
4400006;202106;8;8;8;6;0;6;2;2;0;4170;0;4170;4170;4170;1;1;0,75;0,333333333;0,333333333;0,25;202106;85;0;23186;abaixo da meta;1
4400007;202108;34;34;32;18;10;8;0;0;0;0;0;0;0;0;1;0,941176471;0,25;0;0;0;202108;null;null;null;abaixo da meta;1
4400008;202106;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202106;null;null;null;abaixo da meta;1
4400008;202109;4;4;4;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202109;null;null;null;abaixo da meta;1
4400010;202103;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202103;85;0;23099;abaixo da meta;1
4400010;202105;18;18;18;16;4;12;4;4;0;14986;0;14986;7493;7493;1;1;0,666666667;0,333333333;0,333333333;0,222222222;202105;85;0;23099;abaixo da meta;1
4400011;202102;14;14;14;6;0;6;0;0;0;0;0;0;0;0;1;1;0,428571429;0;0;0;202102;null;null;null;abaixo da meta;1
4400012;202103;8;8;8;4;0;4;0;0;0;0;0;0;0;0;1;1;0,5;0;0;0;202103;72;0;26336;abaixo da meta;1
4400012;202106;14;14;14;14;4;10;2;2;0;3720;0;3720;3720;3720;1;1;0,714285714;0,2;0,2;0,142857143;202106;72;0;26336;abaixo da meta;1
4400013;202104;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202104;null;null;null;abaixo da meta;1
4400014;202101;12;12;12;4;0;4;2;2;0;2448;0;2448;2448;2448;1;1;0,333333333;0,5;0,5;0,166666667;202101;null;null;null;abaixo da meta;1
4400014;202102;16;16;16;4;0;4;0;0;0;0;0;0;0;0;1;1;0,25;0;0;0;202102;null;null;null;abaixo da meta;1
4400014;202109;2;2;2;2;0;2;2;2;0;3642;0;3642;3642;3642;1;1;1;1;1;1;202109;null;null;null;abaixo da meta;1
4400015;202102;12;12;12;10;0;10;8;8;0;8748;0;8748;2187;2187;1;1;0,833333333;0,8;0,8;0,666666667;202102;null;null;null;abaixo da meta;1
4400015;202107;16;16;16;10;2;8;2;2;0;5694;0;5694;5694;5694;1;1;0,5;0,25;0,25;0,125;202107;null;null;null;abaixo da meta;1
4400016;202107;26;26;26;22;4;18;0;0;0;0;0;0;0;0;1;1;0,692307692;0;0;0;202107;null;null;null;abaixo da meta;1
4400017;202105;38;38;38;26;12;14;0;0;0;0;0;0;0;0;1;1;0,368421053;0;0;0;202105;59;0;27067;abaixo da meta;1
4400017;202105;38;38;38;26;12;14;0;0;0;0;0;0;0;0;1;1;0,368421053;0;0;0;202105;94;0;26642;abaixo da meta;2
4400017;202108;12;12;12;12;4;8;2;2;0;2012;0;2012;2012;2012;1;1;0,666666667;0,25;0,25;0,166666667;202108;59;0;27067;abaixo da meta;1
4400017;202108;12;12;12;12;4;8;2;2;0;2012;0;2012;2012;2012;1;1;0,666666667;0,25;0,25;0,166666667;202108;94;0;26642;abaixo da meta;2
4400017;202108;6;6;6;6;0;6;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202108;59;0;27067;abaixo da meta;3
4400017;202108;6;6;6;6;0;6;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202108;94;0;26642;abaixo da meta;4
4400018;202107;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202107;null;null;null;abaixo da meta;1
4400018;202109;24;24;24;18;0;18;0;0;0;0;0;0;0;0;1;1;0,75;0;0;0;202109;null;null;null;abaixo da meta;1
4400020;202102;4;4;2;2;0;2;0;0;0;0;0;0;0;0;1;0,5;1;0;0;0;202102;76;0;24205;abaixo da meta;1
4400020;202103;2;2;2;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202103;76;0;24205;abaixo da meta;1
4400021;202102;10;10;10;8;4;4;0;0;0;0;0;0;0;0;1;1;0,4;0;0;0;202102;null;null;null;abaixo da meta;1
4400021;202107;4;4;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202107;null;null;null;abaixo da meta;1
4400021;202108;12;12;12;8;2;6;2;2;0;9370;0;9370;9370;9370;1;1;0,5;0,333333333;0,333333333;0,166666667;202108;null;null;null;abaixo da meta;1
4400022;202108;16;16;16;8;0;8;2;2;0;8584;0;8584;8584;8584;1;1;0,5;0,25;0,25;0,125;202108;null;null;null;abaixo da meta;1
4400023;202102;6;6;6;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202102;98;0;27682;abaixo da meta;1
4400023;202105;2;2;2;2;0;2;2;2;0;3466;0;3466;3466;3466;1;1;1;1;1;1;202105;98;0;27682;abaixo da meta;1
4400023;202106;8;8;8;8;2;6;2;2;0;2664;0;2664;2664;2664;1;1;0,75;0,333333333;0,333333333;0,25;202106;98;0;27682;abaixo da meta;1
4400024;202102;22;22;22;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202102;98;0;25222;abaixo da meta;1
4400024;202102;14;14;12;12;4;8;2;2;0;2420;0;2420;2420;2420;1;0,857142857;0,666666667;0,25;0,25;0,142857143;202102;98;0;25222;abaixo da meta;2
4400024;202109;12;12;12;12;2;10;0;0;0;0;0;0;0;0;1;1;0,833333333;0;0;0;202109;98;0;25222;abaixo da meta;1
4400024;202109;14;14;14;8;2;6;4;2;2;6650;5072;1578;3325;1578;1;1;0,428571429;0,666666667;0,333333333;0,142857143;202109;98;0;25222;abaixo da meta;2
4400025;202104;22;22;22;14;2;12;0;0;0;0;0;0;0;0;1;1;0,545454545;0;0;0;202104;null;null;null;abaixo da meta;1
4400025;202107;10;10;10;6;0;6;0;0;0;0;0;0;0;0;1;1;0,6;0;0;0;202107;null;null;null;abaixo da meta;1
4400027;202103;22;22;22;14;4;10;10;8;2;16782;2854;13928;3356,4;3482;1;1;0,454545455;1;0,8;0,363636364;202103;null;null;null;abaixo da meta;1
4400027;202106;22;22;22;16;2;14;2;2;0;6746;0;6746;6746;6746;1;1;0,636363636;0,142857143;0,142857143;0,090909091;202106;null;null;null;abaixo da meta;1
4400027;202107;4;4;4;4;0;4;2;0;2;25602;25602;0;25602;0;1;1;1;0,5;0;0;202107;null;null;null;abaixo da meta;1
4400027;202109;16;16;16;14;2;12;2;2;0;1996;0;1996;1996;1996;1;1;0,75;0,166666667;0,166666667;0,125;202109;null;null;null;abaixo da meta;1
4400028;202101;16;16;16;16;2;14;12;12;0;18532;0;18532;3088,666666;3088,666666;1;1;0,875;0,857142857;0,857142857;0,75;202101;81;0;23182;abaixo da meta;1
4400028;202106;20;20;20;10;4;6;4;4;0;8226;0;8226;4113;4113;1;1;0,3;0,666666667;0,666666667;0,2;202106;81;0;23182;abaixo da meta;1
4400029;202104;12;12;12;12;2;10;4;4;0;7126;0;7126;3563;3563;1;1;0,833333333;0,4;0,4;0,333333333;202104;63;0;23994;abaixo da meta;1
4400031;202106;16;16;16;8;0;8;0;0;0;0;0;0;0;0;1;1;0,5;0;0;0;202106;null;null;null;abaixo da meta;1
4400032;202102;8;8;8;4;0;4;2;2;0;2514;0;2514;2514;2514;1;1;0,5;0,5;0,5;0,25;202102;null;null;null;abaixo da meta;1
4400032;202103;18;18;18;14;0;14;4;4;0;8112;0;8112;4056;4056;1;1;0,777777778;0,285714286;0,285714286;0,222222222;202103;null;null;null;abaixo da meta;1
4400032;202107;6;6;6;4;0;4;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202107;null;null;null;abaixo da meta;1
4400034;202101;12;12;12;10;2;8;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202101;96;0;29303;abaixo da meta;1
4400034;202102;4;4;4;4;0;4;4;4;0;10130;0;10130;5065;5065;1;1;1;1;1;1;202102;96;0;29303;abaixo da meta;1
4400034;202109;8;8;8;8;0;8;4;4;0;8130;0;8130;4065;4065;1;1;1;0,5;0,5;0,5;202109;96;0;29303;abaixo da meta;1
4400035;202103;22;22;22;16;0;16;6;6;0;13114;0;13114;4371,333334;4371,333334;1;1;0,727272727;0,375;0,375;0,272727273;202103;86;0;26181;abaixo da meta;1
4400035;202109;14;14;14;12;6;6;4;4;0;7042;0;7042;3521;3521;1;1;0,428571429;0,666666667;0,666666667;0,285714286;202109;86;0;26181;abaixo da meta;1
4400036;202102;14;14;14;14;2;12;4;4;0;7082;0;7082;3541;3541;1;1;0,857142857;0,333333333;0,333333333;0,285714286;202102;null;null;null;abaixo da meta;1
4400036;202106;24;24;24;10;0;10;2;2;0;6286;0;6286;6286;6286;1;1;0,416666667;0,2;0,2;0,083333333;202106;null;null;null;abaixo da meta;1
4400037;202107;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202107;null;null;null;abaixo da meta;1
4400037;202107;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202107;null;null;null;abaixo da meta;2
4400038;202101;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202101;85;0;23733;abaixo da meta;1
4400040;202103;8;8;8;6;0;6;4;4;0;9890;0;9890;4945;4945;1;1;0,75;0,666666667;0,666666667;0,5;202103;69;0;27578;abaixo da meta;1
4400040;202103;8;8;8;6;0;6;4;4;0;9890;0;9890;4945;4945;1;1;0,75;0,666666667;0,666666667;0,5;202103;84;0;23576;abaixo da meta;2
4400040;202106;12;12;12;10;0;10;2;2;0;2180;0;2180;2180;2180;1;1;0,833333333;0,2;0,2;0,166666667;202106;69;0;27578;abaixo da meta;1
4400040;202106;12;12;12;10;0;10;2;2;0;2180;0;2180;2180;2180;1;1;0,833333333;0,2;0,2;0,166666667;202106;84;0;23576;abaixo da meta;2
4400041;202104;4;4;4;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202104;71;0;28641;abaixo da meta;1
4400041;202108;10;10;10;6;0;6;4;4;0;14562;0;14562;7281;7281;1;1;0,6;0,666666667;0,666666667;0,4;202108;71;0;28641;abaixo da meta;1
4400043;202101;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202101;69;0;22491;abaixo da meta;1
4400043;202102;36;36;36;14;2;12;0;0;0;0;0;0;0;0;1;1;0,333333333;0;0;0;202102;69;0;22491;abaixo da meta;1
4400044;202102;10;10;10;8;2;6;6;6;0;24404;0;24404;8134,666666;8134,666666;1;1;0,6;1;1;0,6;202102;61;0;26578;abaixo da meta;1
4400044;202102;10;10;10;8;2;6;6;6;0;24404;0;24404;8134,666666;8134,666666;1;1;0,6;1;1;0,6;202102;67;0;24441;abaixo da meta;2
4400044;202107;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202107;61;0;26578;abaixo da meta;1
4400044;202107;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202107;67;0;24441;abaixo da meta;2
4400044;202109;8;8;8;6;2;4;2;2;0;11646;0;11646;11646;11646;1;1;0,5;0,5;0,5;0,25;202109;61;0;26578;abaixo da meta;1
4400044;202109;8;8;8;6;2;4;2;2;0;11646;0;11646;11646;11646;1;1;0,5;0,5;0,5;0,25;202109;67;0;24441;abaixo da meta;2
4400044;202109;8;8;8;2;0;2;0;0;0;0;0;0;0;0;1;1;0,25;0;0;0;202109;61;0;26578;abaixo da meta;3
4400044;202109;8;8;8;2;0;2;0;0;0;0;0;0;0;0;1;1;0,25;0;0;0;202109;67;0;24441;abaixo da meta;4
4400045;202105;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202105;null;null;null;abaixo da meta;1
4400045;202107;22;22;22;14;0;14;2;2;0;5268;0;5268;5268;5268;1;1;0,636363636;0,142857143;0,142857143;0,090909091;202107;null;null;null;abaixo da meta;1
4400046;202102;10;10;10;8;2;6;0;0;0;0;0;0;0;0;1;1;0,6;0;0;0;202102;null;null;null;abaixo da meta;1
4400049;202109;4;4;4;2;0;2;0;0;0;0;0;0;0;0;1;1;0,5;0;0;0;202109;77;0;27677;abaixo da meta;1
4400050;202108;6;6;6;4;0;4;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202108;null;null;null;abaixo da meta;1
4400051;202104;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202104;80;0;26879;abaixo da meta;1
4400052;202105;14;14;14;8;0;8;2;2;0;3106;0;3106;3106;3106;1;1;0,571428571;0,25;0,25;0,142857143;202105;61;0;24141;abaixo da meta;1
4400053;202108;16;16;16;16;0;16;6;6;0;8448;0;8448;2816;2816;1;1;1;0,375;0,375;0,375;202108;73;0;24917;abaixo da meta;1
4400054;202104;8;8;8;8;0;8;2;2;0;3908;0;3908;3908;3908;1;1;1;0,25;0,25;0,25;202104;72;0;29144;abaixo da meta;1
4400054;202108;10;10;10;4;2;2;0;0;0;0;0;0;0;0;1;1;0,2;0;0;0;202108;72;0;29144;abaixo da meta;1
4400054;202109;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202109;72;0;29144;abaixo da meta;1
4400055;202106;14;14;14;12;4;8;2;2;0;3762;0;3762;3762;3762;1;1;0,571428571;0,25;0,25;0,142857143;202106;null;null;null;abaixo da meta;1
4400057;202102;2;2;2;2;0;2;2;2;0;5382;0;5382;5382;5382;1;1;1;1;1;1;202102;null;null;null;abaixo da meta;1
4400057;202104;12;12;12;4;0;4;0;0;0;0;0;0;0;0;1;1;0,333333333;0;0;0;202104;null;null;null;abaixo da meta;1
4400057;202105;12;12;12;12;4;8;8;8;0;14786;0;14786;3696,5;3696,5;1;1;0,666666667;1;1;0,666666667;202105;null;null;null;abaixo da meta;1
4400057;202108;14;14;14;10;4;6;0;0;0;0;0;0;0;0;1;1;0,428571429;0;0;0;202108;null;null;null;abaixo da meta;1
4400058;202108;6;6;6;6;0;6;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202108;null;null;null;abaixo da meta;1
4400059;202101;2;2;2;2;0;2;2;2;0;4534;0;4534;4534;4534;1;1;1;1;1;1;202101;56;0;23620;abaixo da meta;1
4400059;202101;2;2;2;2;0;2;2;2;0;4534;0;4534;4534;4534;1;1;1;1;1;1;202101;67;0;22548;abaixo da meta;2
4400059;202101;2;2;2;2;0;2;2;2;0;4534;0;4534;4534;4534;1;1;1;1;1;1;202101;76;0;25559;abaixo da meta;3
4400059;202108;20;20;20;20;4;16;4;4;0;10356;0;10356;5178;5178;1;1;0,8;0,25;0,25;0,2;202108;56;0;23620;abaixo da meta;1
4400059;202108;20;20;20;20;4;16;4;4;0;10356;0;10356;5178;5178;1;1;0,8;0,25;0,25;0,2;202108;67;0;22548;abaixo da meta;2
4400059;202108;20;20;20;20;4;16;4;4;0;10356;0;10356;5178;5178;1;1;0,8;0,25;0,25;0,2;202108;76;0;25559;abaixo da meta;3
4400059;202108;8;8;6;2;0;2;0;0;0;0;0;0;0;0;1;0,75;0,333333333;0;0;0;202108;56;0;23620;abaixo da meta;4
4400059;202108;8;8;6;2;0;2;0;0;0;0;0;0;0;0;1;0,75;0,333333333;0;0;0;202108;67;0;22548;abaixo da meta;5
4400059;202108;8;8;6;2;0;2;0;0;0;0;0;0;0;0;1;0,75;0,333333333;0;0;0;202108;76;0;25559;abaixo da meta;6
4400060;202104;28;28;28;14;2;12;0;0;0;0;0;0;0;0;1;1;0,428571429;0;0;0;202104;null;null;null;abaixo da meta;1
4400061;202101;18;18;18;14;4;10;2;2;0;4872;0;4872;4872;4872;1;1;0,555555556;0,2;0,2;0,111111111;202101;83;0;21333;abaixo da meta;1
4400061;202106;16;16;16;12;2;10;0;0;0;0;0;0;0;0;1;1;0,625;0;0;0;202106;83;0;21333;abaixo da meta;1
4400061;202108;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;202108;83;0;21333;abaixo da meta;1
4400063;202102;12;12;12;4;0;4;0;0;0;0;0;0;0;0;1;1;0,333333333;0;0;0;202102;77;0;29440;abaixo da meta;1
4400063;202107;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;202107;77;0;29440;abaixo da meta;1
4400064;202101;18;18;18;4;0;4;0;0;0;0;0;0;0;0;1;1;0,222222222;0;0;0;202101;54;0;26414;abaixo da meta;1
4400064;202101;18;18;18;4;0;4;0;0;0;0;0;0;0;0;1;1;0,222222222;0;0;0;202101;88;0;27296;abaixo da meta;2
4400064;202101;18;18;18;4;0;4;0;0;0;0;0;0;0;0;1;1;0,222222222;0;0;0;202101;100;0;25045;abaixo da meta;3
4400064;202106;10;10;10;4;0;4;4;4;0;8178;0;8178;4089;4089;1;1;0,4;1;1;0,4;202106;54;0;26414;abaixo da meta;1
4400064;202106;10;10;10;4;0;4;4;4;0;8178;0;8178;4089;4089;1;1;0,4;1;1;0,4;202106;88;0;27296;abaixo da meta;2
4400064;202106;10;10;10;4;0;4;4;4;0;8178;0;8178;4089;4089;1;1;0,4;1;1;0,4;202106;100;0;25045;abaixo da meta;3
4400064;202106;2;2;2;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202106;54;0;26414;abaixo da meta;4
4400064;202106;2;2;2;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202106;88;0;27296;abaixo da meta;5
4400064;202106;2;2;2;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202106;100;0;25045;abaixo da meta;6
4400064;202108;8;8;8;6;0;6;4;4;0;8828;0;8828;4414;4414;1;1;0,75;0,666666667;0,666666667;0,5;202108;54;0;26414;abaixo da meta;1
4400064;202108;8;8;8;6;0;6;4;4;0;8828;0;8828;4414;4414;1;1;0,75;0,666666667;0,666666667;0,5;202108;88;0;27296;abaixo da meta;2
4400064;202108;8;8;8;6;0;6;4;4;0;8828;0;8828;4414;4414;1;1;0,75;0,666666667;0,666666667;0,5;202108;100;0;25045;abaixo da meta;3
4400065;202105;18;18;18;14;2;12;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202105;null;null;null;abaixo da meta;1
4400066;202101;28;28;28;16;4;12;0;0;0;0;0;0;0;0;1;1;0,428571429;0;0;0;202101;null;null;null;abaixo da meta;1
4400066;202104;30;30;30;20;2;18;4;2;2;10670;5748;4922;5335;4922;1;1;0,6;0,222222222;0,111111111;0,066666667;202104;null;null;null;abaixo da meta;1
4400066;202109;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;202109;null;null;null;abaixo da meta;1
4400067;202101;8;8;8;6;4;2;0;0;0;0;0;0;0;0;1;1;0,25;0;0;0;202101;59;0;24923;abaixo da meta;1
4400067;202102;24;24;24;14;0;14;6;4;2;13662;3046;10616;4554;5308;1;1;0,583333333;0,428571429;0,285714286;0,166666667;202102;59;0;24923;abaixo da meta;1
4400067;202102;8;8;8;4;0;4;2;2;0;3208;0;3208;3208;3208;1;1;0,5;0,5;0,5;0,25;202102;59;0;24923;abaixo da meta;2
4400067;202108;4;4;4;4;2;2;0;0;0;0;0;0;0;0;1;1;0,5;0;0;0;202108;59;0;24923;abaixo da meta;1
4400067;202109;20;20;20;6;0;6;0;0;0;0;0;0;0;0;1;1;0,3;0;0;0;202109;59;0;24923;abaixo da meta;1
4400068;202107;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202107;82;0;26842;abaixo da meta;1
4400069;202105;4;4;4;4;0;4;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202105;67;0;22585;abaixo da meta;1
4400069;202107;4;4;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202107;67;0;22585;abaixo da meta;1
4400070;202101;6;6;6;4;0;4;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202101;null;null;null;abaixo da meta;1
4400071;202104;6;6;6;4;2;2;0;0;0;0;0;0;0;0;1;1;0,333333333;0;0;0;202104;74;0;23891;abaixo da meta;1
4400071;202105;8;8;8;8;0;8;4;4;0;9248;0;9248;4624;4624;1;1;1;0,5;0,5;0,5;202105;74;0;23891;abaixo da meta;1
4400072;202106;12;12;12;8;0;8;4;4;0;6646;0;6646;3323;3323;1;1;0,666666667;0,5;0,5;0,333333333;202106;null;null;null;abaixo da meta;1
4400072;202106;2;2;2;2;0;2;2;2;0;8314;0;8314;8314;8314;1;1;1;1;1;1;202106;null;null;null;abaixo da meta;2
4400072;202107;32;32;32;20;0;20;0;0;0;0;0;0;0;0;1;1;0,625;0;0;0;202107;null;null;null;abaixo da meta;1
4400072;202108;14;14;14;10;6;4;0;0;0;0;0;0;0;0;1;1;0,285714286;0;0;0;202108;null;null;null;abaixo da meta;1
4400072;202109;2;2;2;2;0;2;2;2;0;3226;0;3226;3226;3226;1;1;1;1;1;1;202109;null;null;null;abaixo da meta;1
4400073;202104;10;10;10;6;4;2;0;0;0;0;0;0;0;0;1;1;0,2;0;0;0;202104;65;0;26359;abaixo da meta;1
4400073;202104;10;10;10;6;4;2;0;0;0;0;0;0;0;0;1;1;0,2;0;0;0;202104;87;0;23205;abaixo da meta;2
4400073;202106;22;22;22;20;4;16;8;8;0;18834;0;18834;4708,5;4708,5;1;1;0,727272727;0,5;0,5;0,363636364;202106;65;0;26359;abaixo da meta;1
4400073;202106;22;22;22;20;4;16;8;8;0;18834;0;18834;4708,5;4708,5;1;1;0,727272727;0,5;0,5;0,363636364;202106;87;0;23205;abaixo da meta;2
4400073;202107;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202107;65;0;26359;abaixo da meta;1
4400073;202107;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202107;87;0;23205;abaixo da meta;2
4400074;202109;20;20;20;10;2;8;0;0;0;0;0;0;0;0;1;1;0,4;0;0;0;202109;87;0;26583;abaixo da meta;1
4400075;202101;20;20;20;20;4;16;6;6;0;17344;0;17344;5781,333334;5781,333334;1;1;0,8;0,375;0,375;0,3;202101;54;0;28859;abaixo da meta;1
4400075;202101;20;20;20;20;4;16;6;6;0;17344;0;17344;5781,333334;5781,333334;1;1;0,8;0,375;0,375;0,3;202101;91;0;21609;abaixo da meta;2
4400075;202103;10;10;10;6;0;6;2;2;0;3954;0;3954;3954;3954;1;1;0,6;0,333333333;0,333333333;0,2;202103;54;0;28859;abaixo da meta;1
4400075;202103;10;10;10;6;0;6;2;2;0;3954;0;3954;3954;3954;1;1;0,6;0,333333333;0,333333333;0,2;202103;91;0;21609;abaixo da meta;2
4400075;202109;10;10;10;8;2;6;2;2;0;3124;0;3124;3124;3124;1;1;0,6;0,333333333;0,333333333;0,2;202109;54;0;28859;abaixo da meta;1
4400075;202109;10;10;10;8;2;6;2;2;0;3124;0;3124;3124;3124;1;1;0,6;0,333333333;0,333333333;0,2;202109;91;0;21609;abaixo da meta;2
4400076;202107;12;12;12;10;2;8;4;4;0;5942;0;5942;2971;2971;1;1;0,666666667;0,5;0,5;0,333333333;202107;80;0;25276;abaixo da meta;1
4400076;202109;10;10;10;2;0;2;0;0;0;0;0;0;0;0;1;1;0,2;0;0;0;202109;80;0;25276;abaixo da meta;1
4400077;202104;16;16;16;6;0;6;0;0;0;0;0;0;0;0;1;1;0,375;0;0;0;202104;null;null;null;abaixo da meta;1
4400078;202108;20;20;20;12;2;10;6;6;0;10758;0;10758;3586;3586;1;1;0,5;0,6;0,6;0,3;202108;81;0;28829;abaixo da meta;1
4400078;202108;24;24;24;16;6;10;4;2;2;6212;1944;4268;3106;4268;1;1;0,416666667;0,4;0,2;0,083333333;202108;81;0;28829;abaixo da meta;2
4400079;202102;6;6;6;6;2;4;0;0;0;0;0;0;0;0;1;1;0,666666667;0;0;0;202102;82;0;29149;abaixo da meta;1
4400079;202103;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202103;82;0;29149;abaixo da meta;1
4400080;202108;2;2;2;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;202108;52;0;28951;abaixo da meta;1
4400081;202109;16;16;16;14;2;12;2;2;0;2674;0;2674;2674;2674;1;1;0,75;0,166666667;0,166666667;0,125;202109;null;null;null;abaixo da meta;1
4400082;202105;12;12;12;10;0;10;2;2;0;5924;0;5924;5924;5924;1;1;0,833333333;0,2;0,2;0,166666667;202105;61;0;27697;abaixo da meta;1
4400083;202109;2;2;2;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;202109;null;null;null;abaixo da meta;1
